,text
808,"('Virtually every Nearly every', 1)"
809,"('Generally , it also impedes It also impedes', 1)"
810,"('It was easy Made it easy', 1)"
811,"(""It is Of course it 's"", 1)"
812,"(""you have to you 've got to first"", 1)"
813,"('helps actively helps', 1)"
814,"('However , Although', 1)"
815,"('clear very clear', 1)"
816,"('more than more than just', 1)"
817,"('Rather So rather', 1)"
818,"('If Now , if', 1)"
819,"('fill , in effect , fill', 1)"
820,"(""if you do not have if you do n't have"", 1)"
821,"('The majority of Most of', 1)"
822,"('what So what', 1)"
823,"(""It is And that 's"", 1)"
824,"(""we will be blogging we 'll be blogging"", 1)"
825,"(""they would be they 'd be"", 1)"
826,"('A Yet just a', 1)"
827,"(""we have to we 've got to"", 1)"
828,"('If you write So before you write', 1)"
829,"('only that just that', 1)"
830,"('It may be possible to You can also', 1)"
831,"('the reason why why', 1)"
832,"('certain sticklers', 1)"
833,"('be very well be', 1)"
834,"('In order to do this To do so', 1)"
835,"("", or appropriate , does n't"", 1)"
836,"('We could all After all , we could', 1)"
837,"(""are 're"", 1)"
838,"('being able to get getting', 1)"
839,"('you should Stay tuned', 1)"
840,"('rarely very rarely', 1)"
841,"('Also , thank you And thanks', 1)"
842,"('Take a look Just look', 1)"
843,"('more even more', 1)"
844,"('technically ( technically )', 1)"
845,"('This includes It includes', 1)"
846,"('That fact And that fact', 1)"
847,"('assist help', 1)"
848,"('it gets more complicated it also gets more complicated', 1)"
849,"('but yet', 1)"
850,"('They But they', 1)"
851,"('in this area there', 1)"
852,"('make exactly make', 1)"
853,"('a lot of acronyms lots of acronyms', 1)"
854,"('year , year', 1)"
855,"('Where do So where do', 1)"
856,"('know even know', 1)"
857,"('It does It absolutely does', 1)"
858,"('have to For starters , you', 1)"
859,"('extravagant slick', 1)"
860,"('not not really', 1)"
861,"(""what you need what 's going to help"", 1)"
862,"(""You are And , you 're"", 1)"
863,"(""it is up to the people it 's up to the people"", 1)"
864,"(""It is a website It 's a website"", 1)"
865,"('Sometimes Apparently , sometimes', 1)"
866,"(""They are not They 're not"", 1)"
867,"(""You you 're going to"", 1)"
868,"('. , now does it ?', 1)"
869,"('Being But , being', 1)"
870,"(""There is There 's really"", 1)"
871,"('I am I ‘ m', 1)"
872,"(""It 's On"", 1)"
873,"(""That is At least that 's"", 1)"
874,"('wonderful great', 1)"
875,"('details juicy details', 1)"
876,"('have really have', 1)"
877,"(""This is It 's also"", 1)"
878,"('The hey , the', 1)"
879,"('physically subdue tackle', 1)"
880,"('For example : Example :', 1)"
881,"(""They do not disappoint They do n't disappoint"", 1)"
882,"('Ensure Make sure', 1)"
883,"('Now And yet', 1)"
884,"(""that we have collected that we 've collecte"", 1)"
885,"(""you need you 've got"", 1)"
886,"('a big deal such a big deal', 1)"
887,"('native even native', 1)"
888,"(""Let us So , let 's"", 1)"
889,"(""do not do n't just"", 1)"
890,"('If Yet if', 1)"
891,"('describes says', 1)"
892,"('Do you want to Want to', 1)"
893,"('Because marketing materials Since marketing materials', 1)"
894,"('the justice it deserves the justice that it deserves', 1)"
895,"('your own yours', 1)"
896,"('Speak Talk', 1)"
897,"(""had n't had not"", 1)"
898,"('simply really', 1)"
899,"('I But I', 1)"
900,"(""If you do not , then If you do n't ,"", 1)"
901,"('have not have n', 1)"
902,"(""you are is n't"", 1)"
903,"('Do you remember Remember', 1)"
904,"('incorrect wrong', 1)"
905,"('choose take', 1)"
906,"('Are there any other questions Or are there other questions', 1)"
907,"(""It is your turn Now it 's your turn"", 1)"
908,"('due to the fact that because', 1)"
909,"('sense sense at all', 1)"
910,"('Be So be', 1)"
911,"(""How did How 'd"", 1)"
912,"('everyone everybody', 1)"
913,"('If Seriously , if', 1)"
914,"('thinking convinced', 1)"
915,"(""You will Specifically , you 'll"", 1)"
916,"(""is not is n't exactly"", 1)"
917,"(""In addition , they will Plus , they 'll"", 1)"
918,"(""something is something 's"", 1)"
919,"('a lot plenty', 1)"
920,"('type kinds', 1)"
921,"('errors mistakes', 1)"
922,"('you will right', 1)"
923,"('Think Brainstorm', 1)"
924,"('Regardless So regardless', 1)"
925,"('Focus Really focus', 1)"
926,"('To begin with , Now ,', 1)"
927,"('regardless of no matter', 1)"
928,"('what you think . what you think !', 1)"
929,"(""Let us So let 's"", 1)"
930,"('wrong necessarily wrong', 1)"
931,"('excitement hype', 1)"
932,"('culture culture like', 1)"
933,"('The Of course , the', 1)"
934,"('perhaps perhaps even', 1)"
935,"('unusual odd', 1)"
936,"('not really just not', 1)"
937,"('In addition Still', 1)"
938,"(""Do n't So do n't"", 1)"
939,"('understand see', 1)"
940,"('Take a look Check out', 1)"
941,"('need have to', 1)"
942,"(', when done well , ( when done well )', 1)"
943,"('It is possible for you to have Perhaps you have', 1)"
944,"('You must build Build', 1)"
945,"(""You are not You 're not"", 1)"
946,"('all of the time every time', 1)"
947,"(""It is Sure it 's"", 1)"
948,"('So , when So when', 1)"
949,"(""it is it 's now"", 1)"
950,"(""and you 're"", 1)"
951,"('In my opinion , In my view', 1)"
952,"(""it is not that 's not"", 1)"
953,"(""20 years old a game that 's 20 years old"", 1)"
954,"('Without So without', 1)"
955,"('It Not only that , it', 1)"
956,"('United States population US population', 1)"
957,"(""hope that you are hope you 're"", 1)"
958,"('language that language', 1)"
959,"('What do those And what do those', 1)"
960,"('casual relatively casual', 1)"
961,"('You need to get What you want to do is get', 1)"
962,"(""everyone is Everybody 's"", 1)"
963,"(""are not yet are n't yet"", 1)"
964,"(""while we have not tested this ourselves though Now while we have n't tested this ourselves"", 1)"
965,"(""your writing how you 're writing"", 1)"
966,"('. , right ?', 1)"
967,"('is is obviously', 1)"
968,"(""He 's In fact , he 's"", 1)"
969,"('It is likely that Chances are that', 1)"
970,"('It means that you This means you', 1)"
971,"(""here is Okay , but here 's"", 1)"
972,"('Currently , Today', 1)"
973,"('For example , did you know that Did you know , for example , that', 1)"
974,"('about just about', 1)"
975,"(""it is very important it 's also important"", 1)"
976,"('discover find out', 1)"
977,"('I suggest you consider the example of Just consider', 1)"
978,"('very important so important', 1)"
979,"('For example , there Example : There', 1)"
980,"('often a lot', 1)"
981,"('you you ever', 1)"
982,"('you you really', 1)"
983,"('That is a lot more . A lot more .', 1)"
984,"(""is not about is n't just about"", 1)"
985,"('strong particularly strong', 1)"
986,"('For instance , Example :', 1)"
987,"('different directions lots of different directions', 1)"
988,"('Acrolinx we Acrolinx , we', 1)"
989,"('makes it difficult makes it harde', 1)"
990,"('You should choose Choose', 1)"
991,"('You should evaluate Then evaluate', 1)"
992,"('You And you', 1)"
993,"('thinking , thinking', 1)"
994,"('what exactly what', 1)"
995,"('You need to begin thinking you need to start thinking', 1)"
996,"('We To do so , we', 1)"
997,"(""In addition , it is Still , it 's"", 1)"
998,"('sixteen 16', 1)"
999,"('I suggest you check Check', 1)"
1000,"('By And , by', 1)"
1001,"('therefore so', 1)"
1002,"('thinking to think', 1)"
1003,"('laugh get a chuckle out', 1)"
1004,"('ready ready to roll', 1)"
1005,"('less expensive cheaper', 1)"
1006,"('are able to can', 1)"
1007,"('The problem is that The thing is ,', 1)"
1008,"(""I would like I 'd like"", 1)"
1009,"(""In addition , it has been it 's also been"", 1)"
1010,"(""until you are presented until you 're presented"", 1)"
1011,"('I Now , I', 1)"
1012,"(""The majority of this is not All of this is n't"", 1)"
1013,"(""We have to we 've got to"", 1)"
1014,"('Perhaps maybe', 1)"
1015,"('You should not ask Not a big ask', 1)"
1016,"('are looking for want', 1)"
1017,"(""dumb you 're going to"", 1)"
1018,"('The ""Of course , the', 1)"
1019,"('Beware and be careful . Beware !', 1)"
1020,"('in my eyes In my view', 1)"
1021,"(""it is safe to say it 's safe to say"", 1)"
1022,"('Make And make', 1)"
1023,"('so that so', 1)"
1024,"('four 4', 1)"
1025,"(""where is where 's"", 1)"
1026,"('had had got', 1)"
1027,"('! ! !', 1)"
1028,"('If so , then If so ,', 1)"
1029,"('resonates really resonates', 1)"
1030,"('fairly pretty', 1)"
1031,"('Set Or set', 1)"
1032,"(', but but', 1)"
1033,"('a certain amount a considerable amount', 1)"
1034,"('would like to want', 1)"
1035,"('focus really focus', 1)"
1036,"('odd quirky', 1)"
1037,"(""we are excited we 're pretty excited"", 1)"
1038,"(""that is easy to find that 's easy to find"", 1)"
1039,"('a large change a huge change', 1)"
1040,"(""your job is not easy your job is n't easy"", 1)"
1041,"(""we are seeing we 're seeing"", 1)"
1042,"('First of all First off', 1)"
1043,"('Please check Check', 1)"
1044,"('you have to you have got to', 1)"
1045,"(""When you are sure when you 're sure"", 1)"
1046,"(""Do not dilute your message do n't dilute your message"", 1)"
1047,"('You should stay Stay', 1)"
1048,"('surprise just surprise', 1)"
1049,"(""We I 'd argue we"", 1)"
1050,"('does not ( or appropriate )', 1)"
1051,"('easier much easie', 1)"
1052,"(""It is better to It 's better to"", 1)"
1053,"('It is This is', 1)"
1054,"('you should check check', 1)"
1055,"('The And yet the', 1)"
1056,"('. We promise , we promise', 1)"
1057,"(""Here is But here 's"", 1)"
1058,"('There And there', 1)"
1059,"('you you at least', 1)"
1060,"(""it has not always been it has n't always been"", 1)"
1061,"('It sounds like Sounds like', 1)"
1062,"('Honest Really honest', 1)"
1063,"('We calculated next Next we calculated', 1)"
1064,"('up , up', 1)"
1065,"('Regardless of what No matter what', 1)"
1066,"('Consider Think of', 1)"
1067,"('For example , what Example : What', 1)"
1068,"(""how were we doing how 'd we do"", 1)"
1069,"(""You will And , you 'll"", 1)"
1070,"('you should stay And stay', 1)"
1071,"('in my opinion in my view', 1)"
1072,"(""We have compiled Below we 've compiled"", 1)"
1073,"('while And while', 1)"
1074,"('By the way , Oh , and by the way ,', 1)"
1075,"(""It has It 's got"", 1)"
1076,"('A spoiler is that they Spoiler alert : They', 1)"
1077,"('is able to can', 1)"
1078,"('It is often possible Unfortunately ,', 1)"
1079,"('very quite', 1)"
1080,"('You can get Get', 1)"
1081,"(""you will be wasting their time you 'll be wasting their time"", 1)"
1082,"('. One and one', 1)"
1083,"('enjoy like', 1)"
1084,"('They So they', 1)"
1085,"('laugh laugh out loud', 1)"
1086,"('No one Nobody', 1)"
1087,"('taught taught to', 1)"
1088,"(""you are as pumped you 're as pumped"", 1)"
1089,"(""They are unfortunately And , unfortunately , they 're"", 1)"
1090,"('excellent really good', 1)"
1091,"('One You know , one', 1)"
1092,"('can could', 1)"
1093,"(""Make sure to be Make sure you 're"", 1)"
1094,"('Having Plus , having', 1)"
1095,"(""It seems as though What 's more"", 1)"
1096,"('In order to earn it , To earn it ,', 1)"
1097,"('As tools While tools', 1)"
1098,"(""he will he 'll"", 1)"
1099,"('goals that goals', 1)"
1100,"('Be sure to So make sure that you', 1)"
1101,"('does But', 1)"
1102,"(""That is a profound shift That 's a profound shift"", 1)"
1103,"('You should have Have', 1)"
1104,"('To be certain To be sure ,', 1)"
1105,"(""the real story is not the real story is n't"", 1)"
1106,"('very really', 1)"
1107,"('Bad And bad', 1)"
1108,"('is , is', 1)"
1109,"('the best thing you can do your best bet', 1)"
1110,"('have even have', 1)"
1111,"(""he would he 'd"", 1)"
1112,"('and thousands of others ( and thousands of others )', 1)"
1113,"('Sometimes But sometimes', 1)"
1114,"('Basically , we We', 1)"
1115,"(""partaking of that 's"", 1)"
1116,"(', then you you', 1)"
1117,"('There are Here are', 1)"
1118,"(""it is driving it 's driving"", 1)"
1119,"(""that is that 's a"", 1)"
1120,"(""We 'll Finally , we 'll"", 1)"
1121,"('an important part such an important part', 1)"
1122,"('happen come across', 1)"
1123,"(""allow us to let 's"", 1)"
1124,"('You should start by Start off by', 1)"
1125,"('you should ensure that make sure', 1)"
1126,"('In addition , And , of course ,', 1)"
1127,"(""we are at it again we 're at it again"", 1)"
1128,"('something generally something', 1)"
1129,"(""if it is a holiday if it 's a holiday"", 1)"
1130,"('worth even worth', 1)"
1131,"(""are not you 're"", 1)"
1132,"('You And , you', 1)"
1133,"('. Both of those , both of which', 1)"
1134,"('I can enjoy I even enjoy', 1)"
1135,"('received got', 1)"
1136,"('not literally Well , not literally', 1)"
1137,"('an issue a big issue', 1)"
1138,"('We Here we', 1)"
1139,"(""Do not Now do n't"", 1)"
1140,"(""a person 's people 's"", 1)"
1141,"('should should really', 1)"
1142,"('The You see , the', 1)"
1143,"(""everyone is everyone 's"", 1)"
1144,"('Are But are', 1)"
1145,"('into right into', 1)"
1146,"('I And , I', 1)"
1147,"('larger bigger', 1)"
1148,"(""please So let 's"", 1)"
1149,"('things that stuff', 1)"
1150,"('enough Ok , enough', 1)"
1151,"(""That 's Well , that 's"", 1)"
1152,"('We know We also know', 1)"
1153,"('With that said That said', 1)"
1154,"(""are not acquainted with do n't actually know"", 1)"
1155,"('It is best Well , probably best', 1)"
1156,"('two 2', 1)"
1157,"('long conversations long been talking', 1)"
1158,"('shorter a lot shorter', 1)"
1159,"('look just look', 1)"
1160,"('simple to navigate easy to navigate', 1)"
1161,"(', and save you some time ( and save you some time )', 1)"
1162,"(""made we 've made"", 1)"
1163,"(""it is I 'm"", 1)"
1164,"('easy pretty easy', 1)"
1165,"('with this doing this', 1)"
1166,"('Is So is', 1)"
1167,"('However Admittedly', 1)"
1168,"('best very best', 1)"
1169,"('We That said , we', 1)"
1170,"(""She has found that What she 's found is that"", 1)"
1171,"('We I think we', 1)"
1172,"(""For example , we are Example : We 're"", 1)"
1173,"('looks really looks', 1)"
1174,"(""let 's well , let 's"", 1)"
1175,"(""Do n't fall And do n't fall"", 1)"
1176,"('is the first step is just the first step', 1)"
1177,"('And finding the right tool finding the right tool', 1)"
1178,"('A Well , a', 1)"
1179,"(""it will be it 's going to be"", 1)"
1180,"('usually often', 1)"
1181,"('do not others perhaps', 1)"
1182,"(""There is a difference And surely there 's a difference"", 1)"
1183,"(""You have And , even worse , you 've got"", 1)"
1184,"('at the worst time at worst', 1)"
1185,"('In my opinion In my view', 1)"
1186,"('In addition Plus ,', 1)"
1187,"('When So , when', 1)"
1188,"('and maybe even thinks ( and maybe even thinks )', 1)"
1189,"('We often hear We hear a lot', 1)"
1190,"('fine all well and good', 1)"
1191,"('allow it let it', 1)"
1192,"(""It is Yet , it 's"", 1)"
1193,"('Possibly loud Maybe even loud', 1)"
1194,"('It is possible that Maybe', 1)"
1195,"(""we did not mention we did n't mention"", 1)"
1196,"(""you can not afford you ca n't afford"", 1)"
1197,"(""you are you 're also"", 1)"
1198,"(""it is rarely approached it 's rarely approached"", 1)"
1199,"(""if you are not giving if you 're not giving"", 1)"
1200,"('To begin To start off', 1)"
1201,"('Remember , Remember', 1)"
1202,"(""the ones we are talking about the ones we 're talking about"", 1)"
1203,"('think might think', 1)"
1204,"('wrote clearly wrote', 1)"
1205,"('It does not matter Regardless of', 1)"
1206,"('Also , Plus', 1)"
1207,"('reasons why', 1)"
1208,"('and dare we say it , reinvigorated — and , dare we say it , reinvigorated —', 1)"
1209,"('Please stay Stay', 1)"
1210,"('You have to think Just think', 1)"
1211,"('types lots of', 1)"
1212,"('In any case , you You', 1)"
1213,"(""It is how it 's how"", 1)"
1214,"('relax Loosen Up', 1)"
1215,"('also , too', 1)"
1216,"(', giving giving', 1)"
1217,"('Come I mean , come', 1)"
1218,"(""and it is that 's"", 1)"
1219,"(""we have found we 've found"", 1)"
1220,"('In the next instance Next', 1)"
1221,"(""Also , we are Plus , we 're"", 1)"
1222,"('numerous lots of', 1)"
1223,"('you should check it out you should definitely check it out', 1)"
1224,"(""You will find many You 'll find lots"", 1)"
1225,"('the usage of hyphen hyphen usage', 1)"
1226,"('error mistake', 1)"
1227,"('we are And , while', 1)"
1228,"('to post content to just post content', 1)"
1229,"('these these so-called', 1)"
1230,"(""As soon as they have Yet as soon as they 've"", 1)"
1231,"('You So you', 1)"
1232,"('frequently all of the time', 1)"
1233,"('to use that you can use', 1)"
1234,"("", you are you 're"", 1)"
1235,"('as ever as', 1)"
1236,"('an perhaps an', 1)"
1237,"('powerful extremely powerful', 1)"
1238,"('In And yet in', 1)"
1239,"('If After all , if', 1)"
1240,"('get it quite get', 1)"
1241,"('need really need', 1)"
1242,"(""it is that it 's"", 1)"
1243,"('The majority most', 1)"
1244,"('be overlooked get overlooked', 1)"
1245,"(""you are missing out you 're missing out"", 1)"
1246,"('Even if And , as if', 1)"
1247,"('You OK , you', 1)"
1248,"(""It does not mean It does n't mean"", 1)"
1249,"('think reckon', 1)"
1250,"('Try If so , try', 1)"
1251,"('it is obvious that yes ,', 1)"
1252,"('presentation , presentation', 1)"
1253,"('In either case Instead', 1)"
1254,"('That But that', 1)"
1255,"(""You will Beyond that , you 'll"", 1)"
1256,"(""That is Of course , that 's"", 1)"
1257,"('. with you !', 1)"
1258,"('other favorite resources some other favorite resources', 1)"
1259,"('types sorts', 1)"
1260,"('How For example , how', 1)"
1261,"(""what is happening what 's going on"", 1)"
1262,"('have might have', 1)"
1263,"(""You can not You ca n't"", 1)"
1264,"(""It is important It 's important"", 1)"
1265,"(""will not get far wo n't get far"", 1)"
1266,"('pursuing chasing', 1)"
1267,"('Many Lots of', 1)"
1268,"(""It 's OK , it 's"", 1)"
1269,"('you should try try', 1)"
1270,"('battles that battles', 1)"
1271,"(""but when they do not but also when they do n't"", 1)"
1272,"('many different responsibilities a lot of different responsibilities', 1)"
1273,"('If Oh , and if', 1)"
1274,"('benefit benefit , of course ,', 1)"
1275,"(""that is in process that 's in the process"", 1)"
1276,"('turn out crank out', 1)"
1277,"('They Well , they', 1)"
1278,"(""we would like to encourage we 'd like to encourage"", 1)"
1279,"(""is not That 's"", 1)"
1280,"('Imagine Now , imagine', 1)"
1281,"(""If you 're So if you 're"", 1)"
1282,"('It may be possible for them to They may', 1)"
1283,"('see stumble upon', 1)"
1284,"(""He has Of course , he 's also got"", 1)"
1285,"('Please note that Note :', 1)"
1286,"('There Well , there', 1)"
1287,"(""we are we 're also"", 1)"
1288,"('own own though', 1)"
1289,"('Do But doing', 1)"
1290,"(""are we not are n't we"", 1)"
1291,"(""needs to be 's got to be"", 1)"
1292,"('clear that clear', 1)"
1293,"('You can download Download', 1)"
1294,"('pull assemble', 1)"
1295,"(""then you will find then you 'll find"", 1)"
1296,"(""that is that 's just"", 1)"
1297,"('but they can but can', 1)"
1298,"('You need to get Get', 1)"
1299,"(""when is when 's"", 1)"
1300,"('you should get get', 1)"
1301,"(""how they translate how they 'll translate"", 1)"
1302,"(""can not could n't"", 1)"
1303,"(""Jake is Jake 's"", 1)"
1304,"(', -', 1)"
1305,"(""we will you 're"", 1)"
1306,"(', so so that', 1)"
1307,"('Not And , not', 1)"
1308,"('It Admittedly , it', 1)"
1309,"('The exceptionally complex', 1)"
1310,"('many so many', 1)"
1311,"(""what is What 's"", 1)"
1312,"('Additionally , you need to Plus you need to', 1)"
1313,"('At Acrolinx we thought Here at Acrolinx we thought', 1)"
1314,"('First of all , you You', 1)"
1315,"(""as you would like to be as you 'd like to be"", 1)"
1316,"('Twelve 12', 1)"
1317,"(""It is And it 's actually"", 1)"
1318,"('about all about', 1)"
1319,"('Focus So focus', 1)"
1320,"('Actually , it would Actually it would', 1)"
1321,"('quickly fast', 1)"
1322,"('. We , and we', 1)"
1323,"(""you are a very busy person you 're a very busy person"", 1)"
1324,"('develop building', 1)"
1325,"(""is not we 'll"", 1)"
1326,"('You need to make sure Make sure', 1)"
1327,"('will help you find a laugh gave you a chuckle', 1)"
1328,"('It sounds Sounds', 1)"
1329,"('You should figure figure', 1)"
1330,"(""we did not find we did n't find"", 1)"
1331,"(""It is In short , it 's"", 1)"
1332,"('Even And even', 1)"
1333,"('Once And once', 1)"
1334,"('interesting incredibly interesting', 1)"
1335,"('They And many', 1)"
1336,"('explains tells you', 1)"
1337,"('individuals people', 1)"
1338,"('issue deal-breaker', 1)"
1339,"('hope just hope', 1)"
1340,"('game little game', 1)"
1341,"('opinion view', 1)"
1342,"('Please select Select', 1)"
1343,"(""it is generally a good idea it 's generally a good idea"", 1)"
1344,"('When Because when', 1)"
1345,"('is not But there', 1)"
1346,"('Tell Then tell', 1)"
1347,"('Remember , And just remember :', 1)"
1348,"('Recently , we We recently', 1)"
1349,"('Remember And remember', 1)"
1350,"(""and one we think you will care about ( and one we think you 'll care about )"", 1)"
1351,"('With In fact , with', 1)"
1352,"('Lastly And lastly', 1)"
1353,"('will get get', 1)"
1354,"(""We are looking forward We 're looking forward"", 1)"
1355,"('should should also', 1)"
1356,"(""we have lost our focus we 've lost our focus"", 1)"
1357,"('what is it ? what exactly is it ?', 1)"
1358,"('finished done', 1)"
1359,"('That Of course , that', 1)"
1360,"('The key Of course the key', 1)"
1361,"('majority vast majority', 1)"
1362,"(""It is As a result , it 's"", 1)"
1363,"('the most best', 1)"
1364,"('You then you', 1)"
1365,"('most enjoyable best', 1)"
1366,"('was got', 1)"
1367,"(""If you are a writer If you 're a writer"", 1)"
1368,"('Almost But almost', 1)"
1369,"('gets just gets', 1)"
1370,"('Please take Take', 1)"
1371,"('Please use a comma Use a comma', 1)"
1372,"('Before So before', 1)"
1373,"('Go see Check out', 1)"
1374,"('discuss be talking about', 1)"
1375,"(""We are To do so , we 're"", 1)"
1376,"('At Acrolinx , Here at Acrolinx ,', 1)"
1377,"(""you need to you 've got to"", 1)"
1378,"('nine 9', 1)"
1379,"('Do not call it Never call it', 1)"
1380,"(""It will it 's going to"", 1)"
1381,"(""It is a great opportunity It 's also a great opportunity"", 1)"
1382,"('more ever more', 1)"
1383,"('I hope hopefully', 1)"
1384,"('tons lots', 1)"
1385,"('certain thing no-brainer', 1)"
1386,"('look peek', 1)"
1387,"('If the answer is yes If yes', 1)"
1388,"(""but you are but you 're"", 1)"
1389,"(""It will It 'll"", 1)"
1390,"('familiar extremely familia', 1)"
1391,"(""you will be you 're going to be"", 1)"
1392,"('also too', 1)"
1393,"('thirty just 30', 1)"
1394,"('You Basically , you', 1)"
1395,"(""there is And there 's"", 1)"
1396,"('Perhaps And perhaps', 1)"
1397,"('Unless Well , unless', 1)"
1398,"('we we definitely', 1)"
1399,"('as like', 1)"
1400,"('Maybe Heck , maybe', 1)"
1401,"(""You should Let 's just"", 1)"
1402,"('As That way as', 1)"
1403,"('Okay Ok', 1)"
1404,"(""Currently , Today 's"", 1)"
1405,"('explain fully explain', 1)"
1406,"('Would we like Want', 1)"
1407,"(""I am positive I 'm sure"", 1)"
1408,"(""is n't a is no"", 1)"
1409,"('assists helps', 1)"
1410,"('I am sure Surely', 1)"
1411,"('identifying simply identifying', 1)"
1412,"('With said that Having said that', 1)"
1413,"('man guy', 1)"
1414,"('Such as For example', 1)"
1415,"('Consider Think about', 1)"
1416,"('We All told , we', 1)"
1417,"(""that is appropriate that 's appropriate"", 1)"
1418,"(""we do not we do n't"", 1)"
1419,"('My So my', 1)"
1420,"('you can start start', 1)"
1421,"('difficult Hard', 1)"
1422,"('genuine real', 1)"
1423,"(', 77 out of 100 , ( 77 out of 100 )', 1)"
1424,"(""do not honestly do n't"", 1)"
1425,"('Think Just think', 1)"
1426,"('we And we', 1)"
1427,"('Yes Yep', 1)"
1428,"('this Admittedly , this', 1)"
1429,"('We But we', 1)"
1430,"(""you will want to you 'll want to"", 1)"
1431,"('go also go', 1)"
1432,"('thing , thing', 1)"
1433,"('thing that is worse thing worse', 1)"
1434,"('losing your credibility putting your credibility on the line', 1)"
1435,"('Even though it has gotten easier Localization , however , has become easier', 1)"
1436,"('is exactly is', 1)"
1437,"('The Because the', 1)"
1438,"('obtain get', 1)"
1439,"('Adding But adding', 1)"
1440,"(""does it not does n't it"", 1)"
1441,"('A Here goes… A', 1)"
1442,"(""you can not For the life of you , you just ca n't"", 1)"
1443,"(""If you 'll"", 1)"
1444,"('The Plus , the', 1)"
1445,"(""it is a good idea it 's a good idea"", 1)"
1446,"('Without further information So , without further ado', 1)"
1447,"(""have they 've"", 1)"
1448,"(""they have they 've got"", 1)"
1449,"('prefer like', 1)"
1450,"('better much better', 1)"
1451,"(""I would like to Let 's"", 1)"
1452,"(""you have have n't"", 1)"
1453,"('simple way simple , snappy way', 1)"
1454,"('Maybe OK , maybe', 1)"
1455,"(""how-to . It 's valuable how-to guide that 's valuable"", 1)"
1456,"('As an example For example', 1)"
1457,"('There are many great ideas There are lots of great ideas', 1)"
1458,"('Currently , Today ,', 1)"
1459,"('Everything Really anything', 1)"
1460,"(""Now admittedly you are not Now admittedly you 're not"", 1)"
1461,"(""it is a small book it 's a small book"", 1)"
1462,"('The Well , the', 1)"
1463,"(""you will need to connect with you 'll need to connect with"", 1)"
1464,"('may could just', 1)"
1465,"(""they are not they probably are n't"", 1)"
1466,"('Even though While', 1)"
1467,"('work work wonders', 1)"
1468,"('believe actually believe', 1)"
1469,"(', and it is also clear that which means that', 1)"
1470,"(""Let us And let 's"", 1)"
1471,"('Recently , we We', 1)"
1472,"(""so do n't"", 1)"
1473,"(""Remember that you are looking for Remember , you 're looking for"", 1)"
1474,"('It could be something That could be something', 1)"
1475,"('you have like', 1)"
1476,"(', therefore , so that', 1)"
1477,"('the tip just the tip', 1)"
1478,"(""thing is thing 's"", 1)"
1479,"('hats So hats', 1)"
1480,"(""That is particularly true That 's particularly true"", 1)"
1481,"('Be And be', 1)"
1482,"(""you you 've"", 1)"
1483,"('means just means', 1)"
1484,"('One thing But surely one thing', 1)"
1485,"('Why And why', 1)"
1486,"('in the case that you In case you', 1)"
1487,"('Your First , your', 1)"
1488,"('be able then be able', 1)"
1489,"(""it is a it 's a"", 1)"
1490,"(""You have You 've then got"", 1)"
1491,"('It It just', 1)"
1492,"('You Fortunately , you', 1)"
1493,"('but it also but that it also', 1)"
1494,"(""What is And what 's"", 1)"
1495,"(""if you do not if you do n't"", 1)"
1496,"('problem thing', 1)"
1497,"(""We are excited we 're excited"", 1)"
1498,"('Who And who', 1)"
1499,"('Have So have', 1)"
1500,"(""it has it 's"", 1)"
1501,"(""Do not waste time Do n't waste time"", 1)"
1502,"(""The books They 're"", 1)"
1503,"('found just found', 1)"
1504,"(""Most likely they are They 're probably"", 1)"
1505,"('search look', 1)"
1506,"('You However ,', 1)"
1507,"('many hundreds of', 1)"
1508,"('Taking under consideration that Consider', 1)"
1509,"('correct Probably', 1)"
1510,"('There Plus , there', 1)"
1511,"(""you have to work hard you 've got to work really hard"", 1)"
1512,"(""right , you 'll"", 1)"
1513,"(""that is more that 's more"", 1)"
1514,"('please make sure Make sure', 1)"
1515,"(""It is a It 's a"", 1)"
1516,"('big huge', 1)"
1517,"('a long way a long ways away', 1)"
1518,"('. However , , though', 1)"
1519,"('It may sound obvious These all might sound like obvious bits of advice', 1)"
1520,"('It And , it', 1)"
1521,"(""as if you 've"", 1)"
1522,"(""It is Of course , it 's"", 1)"
1523,"('content content that', 1)"
1524,"(""you are doing you 're doing"", 1)"
1525,"(""your content is not simply your content is n't just"", 1)"
1526,"(""It has to be It 's got to be"", 1)"
1527,"(""it is it 's also"", 1)"
1528,"('Despite the fact that And yet even though', 1)"
1529,"('only just', 1)"
1530,"('actually really', 1)"
1531,"('people eyes', 1)"
1532,"(""not n't just"", 1)"
1533,"('years , years', 1)"
1534,"('Regardless of what you write whatever you do write', 1)"
1535,"('certain pretty sure', 1)"
1536,"('. They and they', 1)"
1537,"('they will they will also', 1)"
1538,"('understand fully understand', 1)"
1539,"('work possibly work', 1)"
1540,"(""they are correct they 're right"", 1)"
1541,"('There are often But often there are', 1)"
1542,"('a large opportunity a huge opportunity', 1)"
1543,"('attractive hot', 1)"
1544,"(""What is the problem So what 's the takeaway"", 1)"
1545,"(""has not have n't"", 1)"
1546,"("". If you 're"", 1)"
1547,"('We are limb here and', 1)"
1548,"('Please think Think', 1)"
1549,"('fairly big pretty major', 1)"
1550,"('You can talk Talk', 1)"
1551,"(""As we 're"", 1)"
1552,"('It is probably Probably', 1)"
1553,"('This Basically , this', 1)"
